Year,Gender,Sleep_Difficulty,Avg_Sleep_Hours,Wake_Frequency,Sleep_Quality,Concentration_Issue,Daytime_Fatigue,Missed_Classes,Sleep_Impact_Assignments,Device_Use_Before_Sleep,Caffeine_Use,Physical_Activity,Academic_Stress,Academic_Performance
Graduate student,Female,Often,More than 8 hours,Often,Very poor,Always,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Very poor,Always,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Sometimes,Extremely high stress,Below Average
First year,Male,Often,More than 8 hours,Often,Very poor,Always,Always,Often,Major impact,Often,Often,Sometimes,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Never,Major impact,Sometimes,Often,Sometimes,Extremely high stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Often,Always,Major impact,Often,Often,Sometimes,Extremely high stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Very poor,Often,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Rarely,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Moderate impact,Often,Often,Rarely,High stress,Below Average
Second year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Rarely,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Rarely,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Always,Always,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Excellent
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Rarely,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very poor,Often,Often,Always,Moderate impact,Sometimes,Sometimes,Sometimes,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Major impact,Never,Sometimes,Sometimes,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Sometimes,Often,Major impact,Often,Often,Often,High stress,Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Sometimes,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very poor,Often,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,6-7 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Sometimes,Very poor,Always,Often,Often,Major impact,Often,Often,Sometimes,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Sometimes,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Moderate impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Often,Always,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Often,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Always,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Sometimes,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Sometimes,Often,Sometimes,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Moderate impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Sometimes,Major impact,Often,Often,Often,High stress,Below Average
First year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very poor,Sometimes,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Sometimes,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Moderate impact,Often,Often,Sometimes,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Very poor,Sometimes,Sometimes,Sometimes,Moderate impact,Often,Often,Often,High stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Often,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Always,Often,Always,Moderate impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Always,Major impact,Often,Rarely,Every day,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Sometimes,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very poor,Always,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Always,Often,Always,Major impact,Sometimes,Often,Every day,Extremely high stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Very poor,Always,Sometimes,Often,Moderate impact,Often,Often,Sometimes,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Major impact,Sometimes,Sometimes,Every day,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Sometimes,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Rarely,Poor,Always,Always,Always,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Never,7-8 hours,Often,Very poor,Often,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Major impact,Sometimes,Often,Every day,Extremely high stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Very poor,Often,Often,Always,Moderate impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Often,Sometimes,Always,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Sometimes,Sometimes,Major impact,Often,Often,Sometimes,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Always,Often,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Very poor,Often,Sometimes,Always,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,More than 8 hours,Sometimes,Very poor,Often,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Sometimes,High stress,Below Average
Third year,Male,Often,7-8 hours,Rarely,Poor,Often,Often,Always,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Always,Always,Major impact,Often,Often,Often,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Sometimes,7-8 hours,Sometimes,Poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very poor,Often,Sometimes,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very poor,Always,Sometimes,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Sometimes,Often,Often,Major impact,Often,Often,Often,High stress,Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Moderate impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Second year,Male,Often,More than 8 hours,Often,Poor,Often,Often,Always,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Second year,Male,Often,6-7 hours,Sometimes,Very poor,Often,Always,Often,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Very poor,Often,Often,Always,Major impact,Sometimes,Often,Often,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Always,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Poor,Often,Often,Sometimes,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Moderate impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Poor,Often,Often,Always,Major impact,Often,Often,Often,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Poor,Often,Often,Always,Major impact,Often,Often,Often,High stress,Average
Graduate student,Female,Often,7-8 hours,Often,Very poor,Often,Often,Always,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Often,7-8 hours,Often,Poor,Often,Always,Sometimes,Major impact,Often,Often,Often,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very poor,Always,Often,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Sometimes,Often,Often,High stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Very poor,Often,Often,Always,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Sometimes,Often,Always,Major impact,Often,Often,Often,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Poor,Sometimes,Always,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,6-7 hours,Sometimes,Very poor,Sometimes,Sometimes,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Female,Often,7-8 hours,Sometimes,Poor,Often,Sometimes,Often,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very poor,Often,Often,Sometimes,Major impact,Often,Often,Often,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Excellent
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Always,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Poor,Often,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Often,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Female,Often,7-8 hours,Sometimes,Very poor,Often,Often,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Sometimes,Often,Moderate impact,Often,Often,Sometimes,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Sometimes,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Always,Often,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Female,Often,6-7 hours,Often,Very poor,Often,Always,Always,Major impact,Often,Sometimes,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Sometimes,Often,Major impact,Often,Often,Sometimes,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Second year,Male,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
First year,Female,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Moderate impact,Often,Sometimes,Often,High stress,Below Average
Second year,Female,Often,7-8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,More than 8 hours,Sometimes,Very poor,Often,Always,Always,Major impact,Often,Often,Often,High stress,Below Average
Third year,Female,Often,7-8 hours,Sometimes,Very poor,Often,Often,Often,Moderate impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Always,Sometimes,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Sometimes,More than 8 hours,Often,Very poor,Often,Always,Often,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Always,Sometimes,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,6-7 hours,Never,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Always,Often,Minor impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Sometimes,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Always,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Always,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
First year,Female,Often,More than 8 hours,Often,Very poor,Often,Sometimes,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Very poor,Often,Often,Sometimes,Major impact,Sometimes,Sometimes,Often,Extremely high stress,Below Average
Graduate student,Male,Often,6-7 hours,Sometimes,Very poor,Often,Often,Always,Major impact,Sometimes,Often,Every day,Extremely high stress,Average
First year,Female,Often,Less than 4 hours,Often,Very poor,Often,Sometimes,Often,Major impact,Sometimes,Sometimes,Rarely,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Sometimes,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Always,Often,Often,Major impact,Often,Sometimes,Often,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Sometimes,Often,Every day,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Often,Sometimes,Often,Moderate impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Poor,Sometimes,Always,Always,Major impact,Sometimes,Often,Every day,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Often,Often,Always,Major impact,Often,Often,Often,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Poor,Often,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Sometimes,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Sometimes,Poor,Always,Often,Always,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Poor,Often,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Female,Never,6-7 hours,Never,Good,Often,Sometimes,Never,Moderate impact,Often,Never,Often,High stress,Excellent
Third year,Female,Often,More than 8 hours,Often,Very poor,Often,Rarely,Rarely,Minor impact,Sometimes,Sometimes,Rarely,High stress,Average
Third year,Male,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Second year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Sometimes,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Always,Often,Often,Moderate impact,Often,Often,Often,High stress,Good
Second year,Female,Often,7-8 hours,Often,Very good,Often,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Poor,Always,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very poor,Always,Often,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Always,Often,Always,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Poor,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Often,7-8 hours,Often,Poor,Sometimes,Sometimes,Sometimes,Moderate impact,Sometimes,Sometimes,Sometimes,Low stress,Good
Graduate student,Male,Often,7-8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Often,Often,Sometimes,Moderate impact,Often,Often,Often,High stress,Below Average
Third year,Female,Rarely,4-5 hours,Rarely,Very poor,Rarely,Rarely,Rarely,Minor impact,Rarely,Sometimes,Often,Low stress,Good
Graduate student,Male,Often,7-8 hours,Often,Poor,Often,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
